game_id,name,description,min_players,max_players,avg_time,avg_rating,age,availability,category,price,rent_price
174430,Gloomhaven,Vanquish monsters with strategic cardplay. Fulfill your quest to leave your legacy!,1,4,120,8.98893,12,25928,"Adventure, Exploration, Fantasy, Fighting, Miniatures",692.55,10
161936,Pandemic Legacy: Season 1,Mutating diseases are spreading around the world - can your team save humanity?,2,4,60,8.6614,13,41605,"Environmental, Medical",270.35,5
182028,Through the Ages: A New Story of Civilization,Rewrite history as you build up your civilization in this epic card drafting game!,2,4,240,8.60673,14,15848,"Card Game, Civilization, Economic",293.84,5
167791,Terraforming Mars,Compete with rival CEOs to make Mars habitable and build your corporate empire.,1,5,120,8.38461,12,33340,"Economic, Environmental, Industry / Manufacturing, Science Fiction, Territory Building",350.4,5
12333,Twilight Struggle,Relive the Cold War and rewrite history in an epic clash between the USA and USSR.,2,2,180,8.33954,13,42952,"Modern Warfare, Political, Wargame",243.98,5
187645,Star Wars: Rebellion,Strike from your hidden base as the Rebels—or find and destroy it as the Empire.,2,4,240,8.47439,14,20682,"Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",478.59,5
169786,Scythe,"Five factions vie for dominance in a war-torn, mech-filled, dieselpunk 1920s Europe.",1,5,115,8.29158,14,38279,"Civilization, Economic, Fighting, Miniatures, Science Fiction, Territory Building",349.78,5
120677,Terra Mystica,Play fantastical factions.  Expand your influence by terraforming and joining cults.,2,5,150,8.23703,12,32637,"Civilization, Economic, Fantasy, Territory Building",235.28,5
193738,Great Western Trail,Use strategic outposts and navigate danger as you herd your cattle to Kansas City.,2,4,150,8.28574,12,16869,American West,168.68,5
180263,The 7th Continent,Journey through a vibrant but deadly land to uncover the key to lifting your curse.,1,4,1000,8.67228,14,12543,"Adventure, Card Game, Exploration, Horror, Science Fiction",798.76,10
220308,Gaia Project,"Expand, research, upgrade, and settle the galaxy with one of 14 alien species.",1,4,150,8.68217,12,6243,"Civilization, Economic, Science Fiction, Territory Building",265.16,5
84876,The Castles of Burgundy,"Plan, trade, and build your Burgundian estate to prosperity and prominence.",2,4,90,8.12383,12,43992,"Dice, Medieval, Territory Building",187.1,5
173346,7 Wonders Duel,Science? Military? What will you draft to win this head-to-head version of 7 Wonders?,2,2,30,8.14559,10,49800,"Ancient, Card Game, City Building, Civilization",88.76,2
115746,War of the Ring (Second Edition),The Fellowship and the Free Peoples clash with Sauron over the fate of Middle-Earth.,2,4,180,8.37781,13,13216,"Adventure, Fantasy, Fighting, Miniatures, Novel-based, Territory Building, Wargame",976.8,10
102794,Caverna: The Cave Farmers,"From a simple cave, expand your dwarven home through mining, agriculture, and more.",1,7,210,8.1177,12,26974,"Animals, Economic, Fantasy, Farming",437.96,5
31260,Agricola,Build your farmstead by sowing fields and raising livestock. But don't forget to eat!,1,5,150,8.02172,12,64468,"Animals, Economic, Farming",236.43,5
96848,Mage Knight Board Game,"Build your hero’s spells, abilities, and artifacts as you explore & conquer cities.",1,4,240,8.11816,14,31976,"Adventure, Exploration, Fantasy, Fighting",599.31,10
183394,Viticulture Essential Edition,Create the most prosperous winery in Italy from the Tuscan vineyard you've inherited.,1,6,90,8.17385,13,16732,"Economic, Farming",261.96,5
205637,Arkham Horror: The Card Game,Investigate the horrors of Arkham while courting cosmic doom.,1,2,120,8.2564,14,22612,"Adventure, Card Game, Collectible Components, Fantasy, Horror, Novel-based",290.51,5
205059,Mansions of Madness: Second Edition,Unravel mysteries in Arkham with your investigative team in this app-guided game.,1,5,180,8.20129,14,19680,"Adventure, Exploration, Fantasy, Fighting, Horror, Miniatures, Murder/Mystery, Puzzle",466.6,5
124361,Concordia,Traders compete to build the greatest empire in the Roman Mediterranean.,2,5,100,8.07072,13,17797,"Ancient, Economic, Nautical",155.36,5
170216,Blood Rage,Ragnarök has come! Secure your place in Valhalla in epic Viking battles.,2,4,90,8.07481,14,26099,"Fantasy, Fighting, Miniatures, Mythology",288.56,5
164153,Star Wars: Imperial Assault,Play as Rebel or Imperial forces to fulfill mission objectives.,2,5,120,8.13522,14,25367,"Adventure, Fighting, Miniatures, Movies / TV / Radio theme, Science Fiction, Wargame",451.55,5
164928,Orléans,"Craftsmen, scholars & monks can help you reign supreme—but who will turn up to help?",2,4,90,8.07954,12,14851,"Medieval, Religious, Travel",212.72,5
25613,Through the Ages: A Story of Civilization,"Lead your civilization through strategic drafting of leaders, technologies, and more.",2,4,240,8.02876,12,16397,"Civilization, Economic",155.4,5
175914,Food Chain Magnate,Strategically hire and manage your workforce to outcompete rival fast food chains.,2,5,240,8.22008,14,9193,"Economic, Industry / Manufacturing",399.16,5
2651,Power Grid,"Bid, network, and manage resources in a race to supply the most cities with power.",2,6,120,7.91299,12,53847,"Economic, Industry / Manufacturing",199.13,5
