rental_id,customer_id,staff_id,item_id,rental_date,return_date
1,362,11,6259,2021-06-09,2021-06-12
2,269,2,10170,2021-06-10,2021-06-13
3,874,12,15278,2021-06-11,2021-06-16
4,957,14,1859,2021-06-11,2021-06-12
5,221,17,4556,2021-06-17,2021-06-20
6,138,10,13116,2021-06-17,2021-06-22
7,716,17,3038,2021-06-17,2021-06-19
8,906,16,10181,2021-06-18,2021-06-21
9,1197,17,4521,2021-06-18,2021-06-22
10,644,13,4042,2021-06-21,2021-06-25
11,1203,5,11889,2021-06-22,2021-06-25
12,640,16,7588,2021-06-23,2021-06-27
13,1191,13,13700,2021-06-23,2021-06-27
14,1127,3,6468,2021-06-24,2021-06-25
15,16,9,3039,2021-06-24,2021-06-26
16,1048,15,14268,2021-06-25,2021-06-28
17,773,2,3665,2021-06-28,2021-06-30
18,558,17,5858,2021-06-28,2021-06-29
19,47,4,11387,2021-06-28,2021-07-02
20,1170,1,15209,2021-06-29,2021-07-02
21,204,9,15384,2021-06-29,2021-07-02
22,647,3,11030,2021-06-30,2021-07-01
23,364,14,10992,2021-06-30,2021-07-04
24,665,16,5926,2021-07-01,2021-07-05
25,889,9,7739,2021-07-01,2021-07-05
26,699,13,4052,2021-07-05,2021-07-09
27,235,15,4394,2021-07-05,2021-07-07
28,916,1,6352,2021-07-06,2021-07-09
29,1029,6,15483,2021-07-06,2021-07-08
30,848,4,12486,2021-07-06,2021-07-08
31,982,2,13212,2021-07-07,2021-07-11
32,657,14,12644,2021-07-08,2021-07-11
33,1205,6,9391,2021-07-08,2021-07-10
34,1007,9,13062,2021-07-08,2021-07-14
35,1026,15,7998,2021-07-12,2021-07-13
36,501,16,3472,2021-07-12,2021-07-16
37,1156,17,8328,2021-07-13,2021-07-15
38,1034,10,5162,2021-07-13,2021-07-16
39,504,15,9052,2021-07-15,2021-07-16
40,313,14,6614,2021-07-15,2021-07-19
41,710,16,13925,2021-07-16,2021-07-18
42,918,6,9630,2021-07-16,2021-07-18
43,705,13,10260,2021-07-16,2021-07-20
44,225,17,5338,2021-07-16,2021-07-21
45,1028,5,15048,2021-07-16,2021-07-23
46,656,17,10942,2021-07-16,2021-07-18
47,286,7,13757,2021-07-19,2021-07-22
48,734,12,5596,2021-07-20,2021-07-24
49,446,7,4976,2021-07-21,2021-07-23
50,1090,7,8935,2021-07-21,2021-07-22
51,927,15,1372,2021-07-21,2021-07-24
52,1244,4,7965,2021-07-21,2021-07-22
53,1082,10,5447,2021-07-21,2021-07-24
54,1304,8,9538,2021-07-21,2021-07-24
55,670,8,15207,2021-07-21,2021-07-25
56,1235,5,1215,2021-07-21,2021-07-22
57,137,15,9027,2021-07-22,2021-07-23
58,438,13,12660,2021-07-22,2021-07-26
59,548,4,11750,2021-07-22,2021-07-25
60,1240,7,13961,2021-07-23,2021-07-26
61,1276,16,4191,2021-07-23,2021-07-26
62,309,13,3096,2021-07-23,2021-07-25
63,284,7,12807,2021-07-23,2021-07-25
64,626,14,5770,2021-07-26,2021-07-30
65,1067,1,7107,2021-07-26,2021-08-01
66,410,16,12455,2021-07-26,2021-07-30
67,760,16,2161,2021-07-27,2021-07-31
68,146,6,2900,2021-07-28,2021-07-31
69,1148,10,1737,2021-07-28,2021-07-29
70,371,8,10087,2021-07-28,2021-08-01
71,901,4,10962,2021-07-28,2021-07-29
72,434,7,8419,2021-07-29,2021-08-03
73,397,17,2952,2021-07-29,2021-08-02
74,270,10,6973,2021-07-29,2021-08-03
75,1088,1,8415,2021-07-29,2021-07-30
76,627,7,6926,2021-07-30,2021-08-02
77,1132,8,11118,2021-08-02,2021-08-04
78,914,16,10662,2021-08-02,2021-08-07
79,976,14,1584,2021-08-02,2021-08-04
80,239,9,9457,2021-08-03,2021-08-08
81,1007,14,324,2021-08-03,2021-08-06
82,488,10,8857,2021-08-03,2021-08-06
83,341,4,2787,2021-08-04,2021-08-07
84,393,12,1537,2021-08-04,2021-08-06
85,421,13,1785,2021-08-04,2021-08-07
86,203,6,9329,2021-08-05,2021-08-08
87,401,6,7654,2021-08-06,2021-08-08
88,511,10,5763,2021-08-06,2021-08-07
89,1136,8,3281,2021-08-06,2021-08-09
90,1102,1,5243,2021-08-06,2021-08-07
91,641,11,1010,2021-08-06,2021-08-08
92,962,11,4463,2021-08-06,2021-08-09
93,283,8,216,2021-08-06,2021-08-09
94,811,16,13315,2021-08-06,2021-08-09
95,1180,2,2753,2021-08-06,2021-08-09
96,1226,1,15672,2021-08-09,2021-08-10
