sale_id,customer_id,staff_id,game_id,amount,date
1,,11,177490,67.4,2021-06-02
2,,5,105023,424.8,2021-06-02
3,,3,8993,938.4,2021-06-02
4,,13,3236,112.78,2021-06-02
5,,8,205078,199.8,2021-06-04
6,,13,254,210.8,2021-06-04
7,,4,123570,107.76,2021-06-04
8,,16,125658,199.36,2021-06-04
9,1041,9,149896,790.0,2021-06-07
10,719,14,194655,223.12,2021-06-07
11,,10,9804,125.32,2021-06-07
12,,8,151007,72.6,2021-06-07
13,,6,24070,535.8,2021-06-07
14,,8,1644,181.5,2021-06-08
15,,9,75449,436.8,2021-06-08
16,,7,963,269.36,2021-06-08
17,,12,65532,368.2,2021-06-08
18,,1,130605,127.32,2021-06-08
19,,9,14105,245.98,2021-06-08
20,1286,4,3593,185.6,2021-06-09
21,,16,36482,107.56,2021-06-09
22,14,2,182028,295.84,2021-06-09
23,,5,41934,399.6,2021-06-09
24,,12,132372,856.6,2021-06-09
25,,16,139976,899.53,2021-06-10
26,,8,423,412.6,2021-06-10
27,,4,38862,178.56,2021-06-10
28,386,12,129051,692.8,2021-06-10
29,,1,111502,77.48,2021-06-10
30,,16,194594,156.68,2021-06-10
31,,15,140620,425.8,2021-06-10
32,,10,3236,113.78,2021-06-11
33,,11,45986,159.4,2021-06-11
34,,14,5306,294.04,2021-06-11
35,1263,14,37628,425.8,2021-06-11
36,,1,150997,358.98,2021-06-11
37,,14,382,77.48,2021-06-11
38,,7,199493,117.52,2021-06-14
39,193,10,859,733.6,2021-06-14
40,,17,83195,45.69,2021-06-14
41,,16,55679,41.96,2021-06-14
42,,3,96713,40.96,2021-06-14
43,,3,98527,339.0,2021-06-14
44,,11,172287,255.44,2021-06-14
45,,6,911,558.0,2021-06-14
46,736,7,103,2649.8,2021-06-15
47,,17,162,334.0,2021-06-15
48,1060,16,93724,267.65,2021-06-15
49,,10,157322,319.26,2021-06-15
50,,14,31897,432.8,2021-06-15
51,627,7,9217,636.6,2021-06-15
52,,6,2077,231.0,2021-06-15
53,,15,218311,36.52,2021-06-15
54,,12,83195,54.69,2021-06-15
55,,17,67492,253.38,2021-06-15
56,,13,8222,184.6,2021-06-15
57,,16,594,82.6,2021-06-15
58,,8,18460,213.6,2021-06-15
59,,15,194081,1331.78,2021-06-15
60,,15,364,291.6,2021-06-15
61,785,14,158600,61.68,2021-06-16
62,,13,129820,157.4,2021-06-16
63,,10,216070,279.09,2021-06-16
64,,14,24773,319.8,2021-06-16
65,,9,197443,133.4,2021-06-16
66,1008,5,104363,225.0,2021-06-16
67,239,16,5452,1163.4,2021-06-16
68,,6,840,71.6,2021-06-16
69,152,6,6642,80.92,2021-06-16
70,,1,63539,88.92,2021-06-17
71,,1,108783,88.8,2021-06-17
72,,11,164865,819.01,2021-06-17
73,,4,144415,335.0,2021-06-17
74,,4,183797,156.74,2021-06-17
75,,5,94104,557.0,2021-06-17
76,311,6,204728,160.18,2021-06-17
77,,15,217321,133.65,2021-06-17
78,,1,151347,411.39,2021-06-17
79,,4,133038,253.2,2021-06-17
80,,1,163968,266.73,2021-06-18
81,205,3,67693,200.8,2021-06-18
82,,10,254,212.8,2021-06-18
83,,11,203430,39.52,2021-06-18
84,,5,172308,50.4,2021-06-18
85,964,4,134520,295.6,2021-06-18
86,,5,215437,231.0,2021-06-18
87,,10,10081,196.36,2021-06-18
88,,6,161297,225.0,2021-06-18
89,,3,120523,335.0,2021-06-18
90,,4,173096,157.4,2021-06-18
91,,15,100423,227.05,2021-06-18
92,,15,42490,82.92,2021-06-18
